"Product","Category","2-Day","2-Week","2-Month"
"Clear Proof Acne Treatment Gel","fallback","Hey [Name], I wanted to check in — how are you liking the Clear Proof Acne Treatment Gel so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Clear Proof Acne Treatment Gel? I'd love to help you restock!"
"Clear Proof Blemish Control Toner","skincare","Hey [Name], I wanted to check in — how are you enjoying the toner?","Hey [Name], how are you? Just checking in — the trick with a toner is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Clear Proof Blemish Control Toner — want me to get another one on the way before you run out?"
"Clear Proof Clarifying Cleansing Gel","fallback","Hey [Name], I wanted to check in — how are you liking the Clear Proof Clarifying Cleansing Gel so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Clear Proof Clarifying Cleansing Gel? I'd love to help you restock!"
"Clear Proof Deep-Cleansing Charcoal Mask","skincare","Hey [Name], I wanted to check in — how are you enjoying the charcoal mask?","Hey [Name], how are you? Just checking in — the trick with a charcoal mask is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Clear Proof Deep-Cleansing Charcoal Mask — want me to get another one on the way before you run out?"
"Clear Proof Oil-Free Moisturizer for Acne-Prone Skin","skincare","Hey [Name], I wanted to check in — how are you enjoying the moisturizer?","Hey [Name], how are you? Just checking in — the trick with a moisturizer is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Clear Proof Oil-Free Moisturizer for Acne-Prone Skin — want me to get another one on the way before you run out?"
"Cosmetic Sponges","fallback","Hey [Name], I wanted to check in — how are you liking the Cosmetic Sponges so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Cosmetic Sponges? I'd love to help you restock!"
"Domain Cologne Spray","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your cologne is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Domain Cologne Spray? Ready for another bottle?"
"Enchanted Wish Eau de Toilette","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Enchanted Wish Eau de Toilette? Ready for another bottle?"
"Forever Diamonds Eau de Parfum","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Forever Diamonds Eau de Parfum? Ready for another bottle?"
"Fragrance-Free Satin Hands Nourishing Shea Cream","body","Hey [Name], I wanted to check in — how are you enjoying the Fragrance-Free Satin Hands Nourishing Shea Cream?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Fragrance-Free Satin Hands Nourishing Shea Cream? Let me know when you're ready for more!"
"Fragrance-Free Satin Hands Pampering Set","body","Hey [Name], I wanted to check in — how are you enjoying the Fragrance-Free Satin Hands Pampering Set?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Fragrance-Free Satin Hands Pampering Set? Let me know when you're ready for more!"
"Gel Semi-Matte Lipstick - Always Apricot","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Bashful You","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Berry Famous","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Blush Velvet","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Crushed Berry","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Mauve Moment","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Midnight Red","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Poppy Please","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Powerful Pink","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Red Stiletto","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Subdued Nude","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Gel Semi-Matte Lipstick - Trademark Pink","color","Hey [Name], I wanted to check in — how are you loving the lipstick?","Hey [Name], how are you? Just checking in on your lipstick — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Gel Semi-Matte Lipstick yet? Just say the word and I'll get more headed your way!"
"Hello, Clean","fallback","Hey [Name], I wanted to check in — how are you liking the Hello, Clean so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Hello, Clean? I'd love to help you restock!"
"Indulge Soothing Eye Gel","fallback","Hey [Name], I wanted to check in — how are you liking the Indulge Soothing Eye Gel so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Indulge Soothing Eye Gel? I'd love to help you restock!"
"Lash Intensity Mascara - Black","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Lash Intensity Mascara yet? Just say the word and I'll get more headed your way!"
"Lash Love Fanorama Define+Lift Mascara","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Lash Love Fanorama Define+Lift Mascara yet? Just say the word and I'll get more headed your way!"
"Lash Love Fanorama Mascara - I ♥ Black","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Lash Love Fanorama Mascara yet? Just say the word and I'll get more headed your way!"
"Lash Love Mascara - I ♥ Black","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Lash Love Mascara yet? Just say the word and I'll get more headed your way!"
"Lash Love Waterproof Mascara - I ♥ Black","color","Hey [Name], I wanted to check in — how are you loving the mascara?","Hey [Name], how are you? Just checking in on your mascara — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Lash Love Waterproof Mascara yet? Just say the word and I'll get more headed your way!"
"Limited-Edition Citrus & Shea Bundle","set","Hey [Name], I wanted to check in — how is your new Limited-Edition Citrus & Shea Bundle treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your Limited-Edition Citrus & Shea Bundle?"
"Limited-Edition Mary Kay Illuminating Bronzer - Deep Glow","color","Hey [Name], I wanted to check in — how are you loving the bronzer?","Hey [Name], how are you? Just checking in on your bronzer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Limited-Edition Illuminating Bronzer yet? Just say the word and I'll get more headed your way!"
"Limited-Edition Mary Kay Illuminating Bronzer - Medium Glow","color","Hey [Name], I wanted to check in — how are you loving the bronzer?","Hey [Name], how are you? Just checking in on your bronzer — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Limited-Edition Illuminating Bronzer yet? Just say the word and I'll get more headed your way!"
"Limited-Edition Mary Kay Lavender & Coconut Body Spray","body","Hey [Name], I wanted to check in — how are you enjoying the Limited-Edition Lavender & Coconut Body Spray?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Limited-Edition Lavender & Coconut Body Spray? Let me know when you're ready for more!"
"Limited-Edition Mary Kay Lavender & Coconut Scented Shower Gel","fallback","Hey [Name], I wanted to check in — how are you liking the Limited-Edition Lavender & Coconut Scented Shower Gel so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Limited-Edition Lavender & Coconut Scented Shower Gel? I'd love to help you restock!"
"Limited-Edition Mary Kay Unlimited Lip Gloss - Cherry Red","color","Hey [Name], I wanted to check in — how are you loving the lip gloss?","Hey [Name], how are you? Just checking in on your lip gloss — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Limited-Edition Unlimited Lip Gloss yet? Just say the word and I'll get more headed your way!"
"Limited-Edition Mary Kay Unlimited Lip Gloss - Lilac Love","color","Hey [Name], I wanted to check in — how are you loving the lip gloss?","Hey [Name], how are you? Just checking in on your lip gloss — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Limited-Edition Unlimited Lip Gloss yet? Just say the word and I'll get more headed your way!"
"Limited-Edition Mary Kay Unlimited Lip Gloss - Rose Noir","color","Hey [Name], I wanted to check in — how are you loving the lip gloss?","Hey [Name], how are you? Just checking in on your lip gloss — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Limited-Edition Unlimited Lip Gloss yet? Just say the word and I'll get more headed your way!"
"Live Fearlessly Eau de Parfum","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Live Fearlessly Eau de Parfum? Ready for another bottle?"
"MK High Intensity Cologne Spray","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your cologne is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the MK High Intensity Cologne Spray? Ready for another bottle?"
"MK High Intensity Ocean Cologne Spray","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your cologne is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the MK High Intensity Ocean Cologne Spray? Ready for another bottle?"
"MK High Intensity Sport Cologne Spray","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your cologne is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the MK High Intensity Sport Cologne Spray? Ready for another bottle?"
"MKMen Daily Facial Wash","fallback","Hey [Name], I wanted to check in — how are you liking the MKMen Daily Facial Wash so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the MKMen Daily Facial Wash? I'd love to help you restock!"
"MKMen Moisturizing Shave Cream","fallback","Hey [Name], I wanted to check in — how are you liking the MKMen Moisturizing Shave Cream so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the MKMen Moisturizing Shave Cream? I'd love to help you restock!"
"MKMen Regimen","set","Hey [Name], I wanted to check in — how is your new MKMen Regimen treating you?","Hey [Name], how are you? Just checking in — the key is morning and night, consistency is everything with a regimen! How are you feeling about it so far? Let me know if you have any questions or need anything!","Hey [Name]! Two months in — I hope you're seeing amazing results! Ready to restock your MKMen Regimen?"
"MKMen Ultimate Moisturizer","skincare","Hey [Name], I wanted to check in — how are you enjoying the moisturizer?","Hey [Name], how are you? Just checking in — the trick with a moisturizer is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your MKMen Ultimate Moisturizer — want me to get another one on the way before you run out?"
"Mary Kay 2-In-1 Body Wash & Shave","body","Hey [Name], I wanted to check in — how are you enjoying the 2-In-1 Body Wash & Shave?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your 2-In-1 Body Wash & Shave? Let me know when you're ready for more!"
"Mary Kay 60th Anniversary Eye Shadow Palette - Pink Diamonds","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the 60th Anniversary Eye Shadow Palette yet? Just say the word and I'll get more headed your way!"
"Mary Kay All-Over Eye Shadow Brush","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the All-Over Eye Shadow Brush yet? Just say the word and I'll get more headed your way!"
"Mary Kay All-Over Powder Brush","fallback","Hey [Name], I wanted to check in — how are you liking the All-Over Powder Brush so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the All-Over Powder Brush? I'd love to help you restock!"
"Mary Kay Apple & Almond Scented Body Lotion - Apple & Almond","body","Hey [Name], I wanted to check in — how are you enjoying the Apple & Almond Scented Body Lotion?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Apple & Almond Scented Body Lotion? Let me know when you're ready for more!"
"Mary Kay Apple & Almond Scented Shower Gel - Apple & Almond","fallback","Hey [Name], I wanted to check in — how are you liking the Apple & Almond Scented Shower Gel so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Apple & Almond Scented Shower Gel? I'd love to help you restock!"
"Mary Kay Balancing Toner","skincare","Hey [Name], I wanted to check in — how are you enjoying the toner?","Hey [Name], how are you? Just checking in — the trick with a toner is sticking with it consistently! Week 2-3 is when most people really start noticing a difference! Let me know if you have any questions or need anything!","Hey [Name]! You're probably getting close to finishing your Balancing Toner — want me to get another one on the way before you run out?"
"Mary Kay Berry & Vanilla Scented Body Lotion - Berry & Vanilla","body","Hey [Name], I wanted to check in — how are you enjoying the Berry & Vanilla Scented Body Lotion?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Berry & Vanilla Scented Body Lotion? Let me know when you're ready for more!"
"Mary Kay Berry & Vanilla Scented Shower Gel - Berry & Vanilla","fallback","Hey [Name], I wanted to check in — how are you liking the Berry & Vanilla Scented Shower Gel so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Berry & Vanilla Scented Shower Gel? I'd love to help you restock!"
"Mary Kay Blending Brush","fallback","Hey [Name], I wanted to check in — how are you liking the Blending Brush so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Blending Brush? I'd love to help you restock!"
"Mary Kay Blending Sponge","fallback","Hey [Name], I wanted to check in — how are you liking the Blending Sponge so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Blending Sponge? I'd love to help you restock!"
"Mary Kay Body Care Set - Lavender Magnolia","body","Hey [Name], I wanted to check in — how are you enjoying the Body Care Set?","Hey [Name], how are you? Just checking in — I hope you're loving your body care! Let me know if you have any questions or need anything!","Hey [Name]! Getting close to finishing your Body Care Set? Let me know when you're ready for more!"
"Mary Kay Boundless Blue Eau de Parfum","fragrance","Hey [Name], I wanted to check in — have you gotten any compliments on your new scent yet?","Hey [Name], how are you? Just checking in — I hope your perfume is becoming your signature scent! Let me know if you have any questions or need anything!","Hey [Name]! How are you doing on the Boundless Blue Eau de Parfum? Ready for another bottle?"
"Mary Kay Brow Kit - Blonde","fallback","Hey [Name], I wanted to check in — how are you liking the Brow Kit so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Brow Kit? I'd love to help you restock!"
"Mary Kay Brow Kit - Brunette","fallback","Hey [Name], I wanted to check in — how are you liking the Brow Kit so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Brow Kit? I'd love to help you restock!"
"Mary Kay Brow Kit - Dark Brunette","fallback","Hey [Name], I wanted to check in — how are you liking the Brow Kit so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Brow Kit? I'd love to help you restock!"
"Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Deep","color","Hey [Name], I wanted to check in — how are you loving the CC Cream?","Hey [Name], how are you? Just checking in on your CC Cream — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the CC Cream yet? Just say the word and I'll get more headed your way!"
"Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Light to Medium","color","Hey [Name], I wanted to check in — how are you loving the CC Cream?","Hey [Name], how are you? Just checking in on your CC Cream — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the CC Cream yet? Just say the word and I'll get more headed your way!"
"Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Medium to Deep","color","Hey [Name], I wanted to check in — how are you loving the CC Cream?","Hey [Name], how are you? Just checking in on your CC Cream — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the CC Cream yet? Just say the word and I'll get more headed your way!"
"Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Very Deep","color","Hey [Name], I wanted to check in — how are you loving the CC Cream?","Hey [Name], how are you? Just checking in on your CC Cream — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the CC Cream yet? Just say the word and I'll get more headed your way!"
"Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Very Light","color","Hey [Name], I wanted to check in — how are you loving the CC Cream?","Hey [Name], how are you? Just checking in on your CC Cream — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the CC Cream yet? Just say the word and I'll get more headed your way!"
"Mary Kay Cheek Brush","fallback","Hey [Name], I wanted to check in — how are you liking the Cheek Brush so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Cheek Brush? I'd love to help you restock!"
"Mary Kay Chromafusion Blush - Golden Copper","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Blush - Hot Coral","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Blush - Rogue Rose","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Blush - Rosy Nude","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Blush - Shy Blush","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Blush - Wineberry","color","Hey [Name], I wanted to check in — how are you loving the blush?","Hey [Name], how are you? Just checking in on your blush — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Blush yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Contour - Cocoa","fallback","Hey [Name], I wanted to check in — how are you liking the Chromafusion Contour so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Chromafusion Contour? I'd love to help you restock!"
"Mary Kay Chromafusion Contour - Latte","fallback","Hey [Name], I wanted to check in — how are you liking the Chromafusion Contour so far?","Hey [Name], how are you? Just checking in — I hope you're loving everything! Let me know if you have any questions or need anything!","Hey [Name]! It's been a couple months — are you running low on the Chromafusion Contour? I'd love to help you restock!"
"Mary Kay Chromafusion Eye Shadow - Biscotti","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Eye Shadow - Blossom","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Eye Shadow yet? Just say the word and I'll get more headed your way!"
"Mary Kay Chromafusion Eye Shadow - Candlelight","color","Hey [Name], I wanted to check in — how are you loving the eye shadow?","Hey [Name], how are you? Just checking in on your eye shadow — I hope it's become a daily staple! Let me know if you have any questions or need anything!","Hey [Name]! Running low on the Chromafusion Eye Shadow yet? Just say the word and I'll get more headed your way!"
